,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2022-01-03T00:00:00,655.95,671.0,654.7,667.05,2383218,JSWSTEEL,11723
1,2022-01-04T00:00:00,670.0,673.9,663.4,670.4,1999008,JSWSTEEL,11723
2,2022-01-05T00:00:00,668.1,697.0,666.35,694.5,6342812,JSWSTEEL,11723
3,2022-01-06T00:00:00,692.0,692.5,672.2,673.95,4714784,JSWSTEEL,11723
4,2022-01-07T00:00:00,676.0,679.0,667.5,672.85,2862614,JSWSTEEL,11723
5,2022-01-10T00:00:00,677.9,679.5,670.0,672.1,1841965,JSWSTEEL,11723
6,2022-01-11T00:00:00,664.0,668.55,643.25,645.7,6912370,JSWSTEEL,11723
7,2022-01-12T00:00:00,652.0,659.2,649.0,657.05,5343630,JSWSTEEL,11723
8,2022-01-13T00:00:00,659.0,691.55,657.25,687.85,7202966,JSWSTEEL,11723
9,2022-01-14T00:00:00,679.9,689.55,677.25,682.7,2054419,JSWSTEEL,11723
10,2022-01-17T00:00:00,682.0,704.85,675.4,699.4,5920282,JSWSTEEL,11723
11,2022-01-18T00:00:00,703.35,704.55,677.55,680.2,3450193,JSWSTEEL,11723
12,2022-01-19T00:00:00,681.0,689.25,660.0,674.65,4889920,JSWSTEEL,11723
13,2022-01-20T00:00:00,679.0,686.0,672.4,682.5,2862609,JSWSTEEL,11723
14,2022-01-21T00:00:00,678.9,680.0,662.15,666.25,3836844,JSWSTEEL,11723
15,2022-01-24T00:00:00,656.5,657.0,618.0,621.8,7296421,JSWSTEEL,11723
16,2022-01-25T00:00:00,620.0,640.6,612.6,631.15,5007835,JSWSTEEL,11723
17,2022-01-27T00:00:00,619.0,632.15,612.05,626.1,4760551,JSWSTEEL,11723
18,2022-01-28T00:00:00,631.0,645.9,625.55,628.05,3719102,JSWSTEEL,11723
19,2022-01-31T00:00:00,636.0,639.0,628.0,628.95,2892647,JSWSTEEL,11723
20,2022-02-01T00:00:00,633.95,658.85,628.0,654.3,5150345,JSWSTEEL,11723
