,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2022-01-03T00:00:00,737.83,740.2,730.91,738.81,925699,TATACONSUM,3432
1,2022-01-04T00:00:00,742.77,747.41,722.07,729.78,2352482,TATACONSUM,3432
2,2022-01-05T00:00:00,731.16,734.37,717.58,724.59,2076552,TATACONSUM,3432
3,2022-01-06T00:00:00,724.0,725.92,713.68,716.54,2077754,TATACONSUM,3432
4,2022-01-07T00:00:00,716.54,735.51,716.15,727.06,2107056,TATACONSUM,3432
5,2022-01-10T00:00:00,731.36,733.88,722.02,722.91,1592097,TATACONSUM,3432
6,2022-01-11T00:00:00,727.41,734.47,721.78,729.58,1905347,TATACONSUM,3432
7,2022-01-12T00:00:00,733.88,734.17,724.15,727.06,1817215,TATACONSUM,3432
8,2022-01-13T00:00:00,727.95,730.37,714.71,721.23,1604671,TATACONSUM,3432
9,2022-01-14T00:00:00,721.23,767.46,718.07,753.14,8733345,TATACONSUM,3432
10,2022-01-17T00:00:00,758.57,761.88,749.93,755.7,1857366,TATACONSUM,3432
11,2022-01-18T00:00:00,754.42,760.54,719.46,722.47,2674149,TATACONSUM,3432
12,2022-01-19T00:00:00,725.92,728.94,705.23,708.84,2426249,TATACONSUM,3432
13,2022-01-20T00:00:00,719.11,737.09,708.39,714.57,5297725,TATACONSUM,3432
14,2022-01-21T00:00:00,712.15,733.83,703.26,717.63,4854277,TATACONSUM,3432
15,2022-01-24T00:00:00,716.1,716.1,680.05,682.96,3114690,TATACONSUM,3432
16,2022-01-25T00:00:00,681.53,701.23,666.71,699.06,2030546,TATACONSUM,3432
17,2022-01-27T00:00:00,691.4,700.79,679.06,697.28,3118535,TATACONSUM,3432
18,2022-01-28T00:00:00,697.82,720.94,697.82,709.08,2074152,TATACONSUM,3432
19,2022-01-31T00:00:00,717.08,727.9,713.18,718.37,1682459,TATACONSUM,3432
20,2022-02-01T00:00:00,723.01,729.93,708.24,727.06,2063749,TATACONSUM,3432
21,2022-02-02T00:00:00,732.49,735.75,725.58,733.33,1771997,TATACONSUM,3432
22,2022-02-03T00:00:00,740.79,759.56,724.34,729.04,8154082,TATACONSUM,3432
23,2022-02-04T00:00:00,731.9,737.38,713.33,724.79,1931658,TATACONSUM,3432
24,2022-02-07T00:00:00,720.05,727.7,693.43,696.15,1908753,TATACONSUM,3432
25,2022-02-08T00:00:00,696.44,701.28,682.86,688.54,2410446,TATACONSUM,3432
26,2022-02-09T00:00:00,697.33,700.29,688.0,691.6,2206837,TATACONSUM,3432
27,2022-02-10T00:00:00,697.58,702.27,690.42,698.02,1770292,TATACONSUM,3432
28,2022-02-11T00:00:00,686.47,694.47,681.53,692.39,2013324,TATACONSUM,3432
29,2022-02-14T00:00:00,680.54,692.19,675.65,685.77,2069409,TATACONSUM,3432
30,2022-02-15T00:00:00,684.49,697.33,680.69,693.38,2209622,TATACONSUM,3432
31,2022-02-16T00:00:00,696.84,699.65,687.5,692.39,1217196,TATACONSUM,3432
32,2022-02-17T00:00:00,692.89,717.23,692.89,711.5,3442092,TATACONSUM,3432
33,2022-02-18T00:00:00,706.81,715.7,703.45,708.69,1686289,TATACONSUM,3432
34,2022-02-21T00:00:00,701.78,712.49,695.85,704.44,1542807,TATACONSUM,3432
35,2022-02-22T00:00:00,681.53,708.1,681.53,706.42,1861977,TATACONSUM,3432
36,2022-02-23T00:00:00,706.22,722.22,705.33,714.37,1816654,TATACONSUM,3432
37,2022-02-24T00:00:00,690.42,705.78,665.77,669.38,3091298,TATACONSUM,3432
38,2022-02-25T00:00:00,681.53,704.59,677.18,700.79,1771881,TATACONSUM,3432
39,2022-02-28T00:00:00,690.91,711.95,686.02,709.78,1935344,TATACONSUM,3432
40,2022-03-02T00:00:00,703.21,709.78,692.93,702.27,1938441,TATACONSUM,3432
41,2022-03-03T00:00:00,703.4,709.92,676.14,678.61,2112330,TATACONSUM,3432
42,2022-03-04T00:00:00,679.95,679.95,649.43,661.72,2833168,TATACONSUM,3432
43,2022-03-07T00:00:00,650.91,665.23,642.22,651.75,2137318,TATACONSUM,3432
44,2022-03-08T00:00:00,650.91,679.3,649.92,675.3,2850859,TATACONSUM,3432
45,2022-03-09T00:00:00,676.59,697.23,669.97,690.56,1920634,TATACONSUM,3432
46,2022-03-10T00:00:00,696.89,718.57,696.89,715.31,2574455,TATACONSUM,3432
47,2022-03-11T00:00:00,715.41,717.13,698.76,707.65,2305707,TATACONSUM,3432
48,2022-03-14T00:00:00,711.16,715.11,700.94,713.38,1584725,TATACONSUM,3432
49,2022-03-15T00:00:00,715.11,764.5,714.86,739.41,9386502,TATACONSUM,3432
50,2022-03-16T00:00:00,744.74,746.27,731.51,738.67,1959778,TATACONSUM,3432
51,2022-03-17T00:00:00,748.69,764.94,744.99,762.82,3099238,TATACONSUM,3432
52,2022-03-21T00:00:00,762.52,764.35,736.15,738.62,1889226,TATACONSUM,3432
53,2022-03-22T00:00:00,740.79,748.69,722.42,743.65,3047970,TATACONSUM,3432
54,2022-03-23T00:00:00,750.17,750.67,735.95,739.6,1103251,TATACONSUM,3432
55,2022-03-24T00:00:00,738.81,742.37,729.63,731.41,1179087,TATACONSUM,3432
56,2022-03-25T00:00:00,730.91,730.91,699.9,724.34,2968621,TATACONSUM,3432
57,2022-03-28T00:00:00,724.99,737.04,719.21,732.15,1833105,TATACONSUM,3432
58,2022-03-29T00:00:00,732.89,738.57,726.57,734.07,985708,TATACONSUM,3432
59,2022-03-30T00:00:00,740.79,773.14,739.8,756.45,8328100,TATACONSUM,3432
60,2022-03-31T00:00:00,758.52,770.42,756.49,767.85,2892133,TATACONSUM,3432
61,2022-04-01T00:00:00,770.37,782.77,769.43,780.1,3082307,TATACONSUM,3432
62,2022-04-04T00:00:00,782.27,785.24,772.15,778.42,1565651,TATACONSUM,3432
63,2022-04-05T00:00:00,781.29,800.05,778.52,796.74,2912280,TATACONSUM,3432
64,2022-04-06T00:00:00,800.5,802.52,787.26,799.31,2004175,TATACONSUM,3432
65,2022-04-07T00:00:00,799.07,808.25,792.2,795.02,1965237,TATACONSUM,3432
66,2022-04-08T00:00:00,800.55,809.78,794.13,807.66,1406219,TATACONSUM,3432
67,2022-04-11T00:00:00,807.66,813.88,799.56,811.41,1231236,TATACONSUM,3432
68,2022-04-12T00:00:00,811.41,812.75,792.69,802.13,1193490,TATACONSUM,3432
69,2022-04-13T00:00:00,802.13,813.39,801.09,807.56,1036739,TATACONSUM,3432
70,2022-04-18T00:00:00,806.18,814.77,799.07,812.2,1480954,TATACONSUM,3432
71,2022-04-19T00:00:00,814.87,826.57,775.21,781.63,2460482,TATACONSUM,3432
72,2022-04-20T00:00:00,790.18,803.46,782.37,800.5,1522453,TATACONSUM,3432
73,2022-04-21T00:00:00,802.03,811.91,794.37,809.98,1344250,TATACONSUM,3432
74,2022-04-22T00:00:00,807.95,811.51,793.24,805.58,1880668,TATACONSUM,3432
75,2022-04-25T00:00:00,792.15,799.95,779.85,783.02,1193621,TATACONSUM,3432
76,2022-04-26T00:00:00,788.45,814.23,785.24,811.96,1285209,TATACONSUM,3432
77,2022-04-27T00:00:00,804.89,807.81,786.52,788.79,1186809,TATACONSUM,3432
78,2022-04-28T00:00:00,800.89,808.94,789.78,801.68,1802590,TATACONSUM,3432
79,2022-04-29T00:00:00,804.99,824.99,803.02,813.63,2268921,TATACONSUM,3432
80,2022-05-02T00:00:00,813.19,818.47,800.05,814.28,1439813,TATACONSUM,3432
81,2022-05-04T00:00:00,814.28,821.78,790.97,793.44,1817504,TATACONSUM,3432
82,2022-05-05T00:00:00,800.05,802.03,763.01,766.82,5079723,TATACONSUM,3432
83,2022-05-06T00:00:00,760.54,768.94,753.58,755.56,2003395,TATACONSUM,3432
84,2022-05-09T00:00:00,753.63,758.57,744.74,748.94,1742459,TATACONSUM,3432
85,2022-05-10T00:00:00,750.12,762.96,733.93,736.64,1326184,TATACONSUM,3432
86,2022-05-11T00:00:00,736.64,749.48,728.94,734.96,1287768,TATACONSUM,3432
