,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2022-01-03T00:00:00,1623.3,1660.25,1610.6,1655.02,626473,GRASIM,1232
1,2022-01-04T00:00:00,1664.38,1689.78,1651.43,1685.3,891638,GRASIM,1232
2,2022-01-05T00:00:00,1678.33,1746.16,1677.33,1740.13,1764235,GRASIM,1232
3,2022-01-06T00:00:00,1739.19,1739.19,1703.83,1713.74,1154118,GRASIM,1232
4,2022-01-07T00:00:00,1715.18,1799.84,1715.18,1790.53,2894295,GRASIM,1232
5,2022-01-10T00:00:00,1802.83,1837.69,1786.5,1831.57,1462664,GRASIM,1232
6,2022-01-11T00:00:00,1826.89,1863.59,1813.79,1839.59,1410909,GRASIM,1232
7,2022-01-12T00:00:00,1850.59,1870.02,1837.69,1866.58,698473,GRASIM,1232
8,2022-01-13T00:00:00,1872.56,1875.54,1842.67,1849.5,841198,GRASIM,1232
9,2022-01-14T00:00:00,1852.53,1860.35,1825.09,1849.95,1234583,GRASIM,1232
10,2022-01-17T00:00:00,1849.95,1921.36,1838.69,1911.1,1251260,GRASIM,1232
11,2022-01-18T00:00:00,1920.32,1922.16,1835.4,1844.92,941752,GRASIM,1232
12,2022-01-19T00:00:00,1837.69,1856.52,1789.19,1799.35,806090,GRASIM,1232
13,2022-01-20T00:00:00,1809.8,1829.48,1806.42,1823.75,713340,GRASIM,1232
14,2022-01-21T00:00:00,1821.76,1821.76,1771.96,1785.0,524966,GRASIM,1232
15,2022-01-24T00:00:00,1784.7,1784.7,1677.33,1684.0,1018776,GRASIM,1232
16,2022-01-25T00:00:00,1661.99,1719.36,1651.48,1714.48,834681,GRASIM,1232
17,2022-01-27T00:00:00,1690.38,1693.27,1653.53,1680.37,814635,GRASIM,1232
18,2022-01-28T00:00:00,1693.27,1729.47,1684.35,1690.28,1137085,GRASIM,1232
19,2022-01-31T00:00:00,1699.14,1730.12,1695.26,1720.66,511167,GRASIM,1232
20,2022-02-01T00:00:00,1729.72,1769.91,1710.3,1764.34,1140710,GRASIM,1232
21,2022-02-02T00:00:00,1772.95,1782.91,1756.02,1771.06,688940,GRASIM,1232
22,2022-02-03T00:00:00,1772.0,1778.93,1715.18,1725.84,480434,GRASIM,1232
23,2022-02-04T00:00:00,1725.84,1758.01,1720.36,1728.43,569416,GRASIM,1232
24,2022-02-07T00:00:00,1718.22,1742.72,1693.27,1705.57,481298,GRASIM,1232
25,2022-02-08T00:00:00,1714.53,1721.16,1678.73,1711.0,421620,GRASIM,1232
26,2022-02-09T00:00:00,1711.3,1739.09,1706.22,1732.81,454006,GRASIM,1232
27,2022-02-10T00:00:00,1719.76,1764.29,1719.76,1761.55,622393,GRASIM,1232
28,2022-02-11T00:00:00,1743.07,1753.03,1695.26,1703.38,983623,GRASIM,1232
29,2022-02-14T00:00:00,1689.88,1689.88,1629.17,1636.44,824741,GRASIM,1232
30,2022-02-15T00:00:00,1652.73,1709.01,1611.64,1705.32,1194854,GRASIM,1232
31,2022-02-16T00:00:00,1708.01,1743.02,1705.77,1714.48,1204064,GRASIM,1232
32,2022-02-17T00:00:00,1731.07,1744.86,1693.27,1704.47,1067390,GRASIM,1232
33,2022-02-18T00:00:00,1695.26,1733.01,1691.28,1715.93,1200407,GRASIM,1232
34,2022-02-21T00:00:00,1697.25,1729.87,1680.67,1685.75,1031646,GRASIM,1232
35,2022-02-22T00:00:00,1630.67,1683.01,1630.67,1677.48,880972,GRASIM,1232
36,2022-02-23T00:00:00,1683.41,1697.25,1656.56,1663.19,673096,GRASIM,1232
37,2022-02-24T00:00:00,1618.57,1646.4,1528.92,1538.23,1255601,GRASIM,1232
