,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2022-01-03T00:00:00,69.92,70.73,69.83,70.42,2991447,BEL,383
1,2022-01-04T00:00:00,70.83,73.02,70.4,72.05,10445579,BEL,383
2,2022-01-05T00:00:00,71.92,72.3,70.87,71.1,3985837,BEL,383
3,2022-01-06T00:00:00,70.33,71.05,70.2,70.63,2940305,BEL,383
4,2022-01-07T00:00:00,70.63,71.32,69.17,69.35,4324988,BEL,383
5,2022-01-10T00:00:00,69.65,70.5,69.33,70.28,3136299,BEL,383
6,2022-01-11T00:00:00,70.33,70.72,69.52,70.15,3340706,BEL,383
7,2022-01-12T00:00:00,70.33,70.65,69.6,70.2,2598248,BEL,383
8,2022-01-13T00:00:00,70.63,70.77,69.08,69.85,4048229,BEL,383
9,2022-01-14T00:00:00,69.7,74.03,69.47,73.37,9154550,BEL,383
10,2022-01-17T00:00:00,74.0,74.27,71.93,72.17,9614296,BEL,383
11,2022-01-18T00:00:00,72.77,72.83,69.2,69.45,5979925,BEL,383
12,2022-01-19T00:00:00,69.72,70.13,68.33,69.38,10126239,BEL,383
13,2022-01-20T00:00:00,69.67,70.93,69.15,70.78,6759397,BEL,383
14,2022-01-21T00:00:00,70.47,70.55,68.33,68.98,5907966,BEL,383
15,2022-01-24T00:00:00,68.98,69.58,65.02,65.77,6675179,BEL,383
16,2022-01-25T00:00:00,65.43,68.5,64.73,68.07,9906114,BEL,383
17,2022-01-27T00:00:00,67.3,68.77,66.05,68.3,7933437,BEL,383
18,2022-01-28T00:00:00,68.92,70.33,68.45,69.03,8222111,BEL,383
19,2022-01-31T00:00:00,71.57,73.25,69.22,69.9,17925420,BEL,383
20,2022-02-01T00:00:00,70.55,70.82,67.78,69.13,9798498,BEL,383
21,2022-02-02T00:00:00,69.85,70.73,69.5,70.25,10068675,BEL,383
22,2022-02-03T00:00:00,70.33,70.48,69.18,69.32,3851742,BEL,383
23,2022-02-04T00:00:00,69.82,69.87,68.12,68.27,5977692,BEL,383
24,2022-02-07T00:00:00,68.3,68.6,66.53,67.37,6108343,BEL,383
25,2022-02-08T00:00:00,67.4,67.97,65.47,66.5,8759626,BEL,383
26,2022-02-09T00:00:00,66.47,67.75,66.03,67.53,5101734,BEL,383
27,2022-02-10T00:00:00,67.65,68.25,66.83,67.6,4034747,BEL,383
28,2022-02-11T00:00:00,66.95,67.88,66.62,66.78,3835311,BEL,383
29,2022-02-14T00:00:00,65.67,66.47,64.28,65.3,10653870,BEL,383
30,2022-02-15T00:00:00,65.4,66.47,64.2,66.32,3582085,BEL,383
31,2022-02-16T00:00:00,66.58,67.12,65.52,66.33,4473543,BEL,383
32,2022-02-17T00:00:00,66.42,68.22,66.15,67.0,6388823,BEL,383
33,2022-02-18T00:00:00,66.67,67.2,66.33,66.67,3538962,BEL,383
34,2022-02-21T00:00:00,66.0,67.28,65.62,66.05,3490295,BEL,383
35,2022-02-22T00:00:00,65.0,66.7,64.45,65.78,6803233,BEL,383
36,2022-02-23T00:00:00,65.8,66.85,65.8,66.33,3381783,BEL,383
37,2022-02-24T00:00:00,65.23,65.58,62.33,62.62,8305113,BEL,383
38,2022-02-25T00:00:00,64.28,67.05,63.97,66.72,7487280,BEL,383
39,2022-02-28T00:00:00,65.68,70.5,65.4,70.15,11862563,BEL,383
40,2022-03-02T00:00:00,69.18,73.2,69.18,72.0,17202697,BEL,383
41,2022-03-03T00:00:00,72.67,73.32,70.88,71.68,9541899,BEL,383
42,2022-03-04T00:00:00,71.33,74.92,70.85,71.63,15376126,BEL,383
43,2022-03-07T00:00:00,70.93,72.8,68.85,71.42,12748011,BEL,383
44,2022-03-08T00:00:00,72.15,72.58,69.4,71.0,6820614,BEL,383
45,2022-03-09T00:00:00,71.47,75.12,71.07,74.15,10081755,BEL,383
46,2022-03-10T00:00:00,75.12,75.5,71.88,72.25,12442898,BEL,383
47,2022-03-11T00:00:00,72.75,72.93,71.37,71.6,9782797,BEL,383
48,2022-03-14T00:00:00,72.0,72.03,69.73,69.93,9497188,BEL,383
49,2022-03-15T00:00:00,69.33,70.05,67.75,68.52,7776163,BEL,383
50,2022-03-16T00:00:00,69.63,69.97,68.87,69.67,7885382,BEL,383
51,2022-03-17T00:00:00,70.07,70.6,69.0,69.8,12089842,BEL,383
52,2022-03-21T00:00:00,70.0,71.47,68.97,69.63,12804611,BEL,383
53,2022-03-22T00:00:00,69.77,70.22,68.33,69.93,6544026,BEL,383
54,2022-03-23T00:00:00,71.3,71.3,68.95,69.13,11093258,BEL,383
55,2022-03-24T00:00:00,68.63,69.68,68.08,69.17,5203100,BEL,383
56,2022-03-25T00:00:00,69.37,69.4,68.32,68.67,7471123,BEL,383
57,2022-03-28T00:00:00,68.67,68.93,67.85,68.35,4487159,BEL,383
58,2022-03-29T00:00:00,68.67,69.53,68.5,69.13,4034689,BEL,383
