,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2022-01-03T00:00:00,1073.54,1093.04,1072.89,1091.18,2502073,RELIANCE,2885
1,2022-01-04T00:00:00,1096.65,1117.12,1091.25,1115.81,5006225,RELIANCE,2885
2,2022-01-05T00:00:00,1117.58,1124.38,1104.39,1121.03,5373618,RELIANCE,2885
3,2022-01-06T00:00:00,1112.67,1113.94,1093.52,1096.92,6667483,RELIANCE,2885
4,2022-01-07T00:00:00,1103.48,1115.78,1094.67,1105.77,6051239,RELIANCE,2885
5,2022-01-10T00:00:00,1113.04,1115.31,1096.72,1106.68,4267365,RELIANCE,2885
6,2022-01-11T00:00:00,1105.77,1123.45,1105.32,1114.65,7478681,RELIANCE,2885
7,2022-01-12T00:00:00,1121.8,1146.15,1118.94,1144.4,6830402,RELIANCE,2885
8,2022-01-13T00:00:00,1144.47,1153.44,1138.64,1150.85,5471871,RELIANCE,2885
9,2022-01-14T00:00:00,1150.71,1165.37,1146.56,1152.53,9197773,RELIANCE,2885
10,2022-01-17T00:00:00,1152.07,1164.33,1151.62,1158.54,3708822,RELIANCE,2885
11,2022-01-18T00:00:00,1159.68,1163.13,1141.97,1144.72,2868235,RELIANCE,2885
12,2022-01-19T00:00:00,1148.44,1153.89,1138.91,1144.63,4502155,RELIANCE,2885
13,2022-01-20T00:00:00,1134.85,1139.34,1114.4,1124.59,7612203,RELIANCE,2885
14,2022-01-21T00:00:00,1113.04,1135.85,1113.04,1124.77,6155759,RELIANCE,2885
15,2022-01-24T00:00:00,1123.48,1136.98,1069.05,1079.4,10092511,RELIANCE,2885
16,2022-01-25T00:00:00,1066.53,1084.28,1046.31,1077.29,11311456,RELIANCE,2885
17,2022-01-27T00:00:00,1060.38,1069.5,1049.05,1061.33,9239426,RELIANCE,2885
18,2022-01-28T00:00:00,1073.54,1078.49,1056.93,1060.31,6769154,RELIANCE,2885
19,2022-01-31T00:00:00,1071.37,1092.34,1069.55,1083.35,5604308,RELIANCE,2885
20,2022-02-01T00:00:00,1093.06,1098.78,1065.42,1079.76,6092033,RELIANCE,2885
21,2022-02-02T00:00:00,1092.61,1092.61,1078.13,1081.96,4623163,RELIANCE,2885
22,2022-02-03T00:00:00,1085.8,1090.09,1065.46,1067.98,4417864,RELIANCE,2885
23,2022-02-04T00:00:00,1062.65,1066.03,1053.62,1058.25,5104761,RELIANCE,2885
24,2022-02-07T00:00:00,1063.1,1069.82,1046.31,1051.8,4944725,RELIANCE,2885
25,2022-02-08T00:00:00,1057.95,1071.27,1048.58,1069.48,5566080,RELIANCE,2885
26,2022-02-09T00:00:00,1076.34,1083.62,1070.37,1081.94,5300891,RELIANCE,2885
27,2022-02-10T00:00:00,1087.48,1087.48,1073.59,1080.83,5752361,RELIANCE,2885
28,2022-02-11T00:00:00,1077.29,1082.4,1064.06,1078.72,7357863,RELIANCE,2885
29,2022-02-14T00:00:00,1062.31,1068.98,1049.94,1061.54,4947109,RELIANCE,2885
30,2022-02-15T00:00:00,1067.28,1100.28,1060.24,1097.58,5174646,RELIANCE,2885
31,2022-02-16T00:00:00,1103.05,1104.41,1087.59,1095.31,4796294,RELIANCE,2885
32,2022-02-17T00:00:00,1098.56,1114.35,1093.97,1109.18,5931774,RELIANCE,2885
33,2022-02-18T00:00:00,1109.59,1115.03,1098.58,1100.51,3126873,RELIANCE,2885
