,Datetime,ScripName,V15D_SD,V30D_SD,V45D_SD,R03D_DR,R15D_DR,R30D_DR,R45D_DR,K,D,oversold,overbought,weighted_vol,weighted_daily_return,stochastic_signal
0,2024-12-18,ASIANPAINT,0.008784059037546083,0.011063457244882044,0.010356521037234475,-0.009221327575155952,-0.00618156849072279,-0.006333330607383202,-0.006445463413143131,3.536977491961415,21.911348755346875,0,0,0.009554431078950952,-0.007758189948513487,1
1,2024-12-18,EICHERMOT,0.008782181173327306,0.012218057112811858,0.015211176657154058,-0.0003328432483971442,-0.0017427583848714193,-0.000640647139135471,0.000149024795228096,20.880289177120787,38.07041655179777,0,0,0.010755155457989567,-0.0006282002494771405,0
2,2024-12-18,HEROMOTOCO,0.010382402629930162,0.012001246664016512,0.01591537508521274,-0.01054257475426199,-0.007125265115787927,-0.00587048007455494,-0.007724424969258689,3.7911927675707244,10.569743850929486,1,0,0.011812765927803948,-0.008642878912125437,0
3,2024-12-18,ITC,0.009723727597677308,0.010886832089004213,0.010376017946866668,-0.0013424859039073659,-0.0002691318212072687,-0.0004820366853618951,-0.0013891172093735257,55.676516329704555,56.713322965267025,0,0,0.010086806565780562,-0.0009603883742048682,0
4,2024-12-18,TATAMOTORS,0.013875823867371266,0.014273192249829614,0.014888301271587466,-0.012646484975117422,-0.004073470278858495,-0.00508088674366111,-0.007035841266985755,10.474090407938252,21.940463065049546,0,0,0.014157793024706176,-0.008857698018761209,0
5,2024-12-18,APOLLOHOSP,0.010921852943911552,0.013999827601643686,0.012239560055159257,0.001539511675416365,0.0018793430426185147,-0.0002630703457865728,-0.000919200398309429,73.68659420289855,78.5869565217391,0,0,0.01180098929770752,0.001001090337243628,0
6,2024-12-18,SBIN,0.008618754147485124,0.014515053977222761,0.01525627607936905,-0.007061580407469262,0.0006212993933551452,-0.000740066425812305,-0.0001514446086080779,44.60511679644034,60.47460140897283,0,0,0.011125518499809438,-0.003569688071086871,0
7,2024-12-18,M&M,0.012020407362752155,0.015532125430357608,0.01801317860366201,-0.000530450776539498,0.0015422958428229067,-0.0001023914942448006,-0.0012103114793011922,67.04035874439462,79.48430493273543,0,0,0.013921305224455217,-9.827566648424697e-05,0
8,2024-12-18,BEL,0.008463793464064171,0.015867355353893203,0.017071221970778958,-0.011142667802988518,-0.0025442173334639753,-4.2680687272720015e-05,-0.00044981252764733203,41.595441595441635,67.65036118225039,0,0,0.011665991543372934,-0.006133694758406331,0
9,2024-12-18,JSWSTEEL,0.013177859540900736,0.017158968528561996,0.016052406357569136,-0.019231975885911815,-0.002492652046528854,-0.0005615415565874032,-0.0018074414544092933,23.908663532572273,49.205283187821884,0,0,0.014548990701766667,-0.010407570809020088,0
10,2024-12-18,ICICIBANK,0.008911694400957577,0.009109825704751984,0.01032176156769309,-0.004761768722872518,0.0027815498924194334,0.001228651691396255,0.0013070333581819097,75.4952311078503,88.54756909345315,0,0,0.00923333409506356,-0.0014481407088549304,0
11,2024-12-18,INDUSINDBK,0.009764945976867676,0.0120093862358971,0.019093418642047513,-0.0078053932185809275,-0.003803628147687967,-0.005689127904266941,-0.007603399242578711,21.107628004179766,44.06841583421084,0,0,0.012079528561709529,-0.006561587743939317,0
12,2024-12-18,ONGC,0.009079534734626133,0.012500804506557293,0.012921858367532055,-0.01296356219269072,-0.003776222160234489,-0.004699889958452612,-0.005125205040024071,4.945054945054979,17.108877964141154,1,0,0.01053225341559355,-0.008689524024085188,0
13,2024-12-18,BAJAJ-AUTO,0.011511436587878635,0.014830977431913625,0.02210844485351729,-0.0003701310408371188,-0.002735134201152891,-0.0027982226349307013,-0.005908785672528142,28.237307472903613,37.800405438940835,0,0,0.014294746409813364,-0.0018826154548880918,0
14,2024-12-18,BRITANNIA,0.00929689574784973,0.019983981431830087,0.017895872193759304,-0.0035477063762648074,-0.0019984474798319042,-0.0058503752652930814,-0.005443492327483064,10.171428571428502,26.98360049383258,0,0,0.013154108173827716,-0.0038879669699057075,0
15,2024-12-18,NESTLEIND,0.008952945200586966,0.009391445081086431,0.010842534875316844,-0.008936740405010891,-0.00330989475383961,-0.002027789635136816,-0.004881867270981975,3.208265361609379,31.236685825434975,0,0,0.009418563111632835,-0.0060240938073989276,0
16,2024-12-18,HINDALCO,0.008832911006798465,0.015484254538338179,0.015971672694746114,-0.01245067664703193,-0.0033890640149868046,-0.003960022911936572,-0.004959981035281998,5.5035128805621225,22.95251671588097,0,0,0.011590932050695939,-0.00819115381242884,0
17,2024-12-18,RELIANCE,0.009738895218825159,0.011043021726451567,0.010808706316747097,-0.0031415194253757387,-0.001332274102224193,-0.0013553581220913588,-0.001821767701230104,6.308799114554551,24.9584947426674,0,0,0.010213682739934827,-0.00229046292767399,0
18,2024-12-18,TRENT,0.012615694291958147,0.020838149560471645,0.01905781884199011,0.006318720990201106,0.0014564313847545492,-0.0009953104476166463,-0.00411031282157743,56.711043212570836,67.26044243263162,0,0,0.015548610255667238,0.0028405534003703905,0
19,2024-12-18,TATASTEEL,0.008307183991632586,0.01477062438543644,0.014870592023987788,-0.011432789236579937,-0.0009384442208254314,-0.0033543884807434375,-0.004204350102873717,27.830687830687815,47.26300705467363,0,0,0.010912553676864396,-0.006995396168891114,0
20,2024-12-18,DRREDDY,0.011389999455910299,0.012828807381880662,0.013125887797070737,0.007387382116097106,0.001474438197125222,-0.00028187077127833453,-0.0025663784810221937,69.07817969661612,81.03798940359631,0,0,0.01202493870933646,0.0036755666951157114,0
